,tweet,predicted_class,predicted_label,actual_label
39,"I have a VERY limited number of press seats available for a Meet Me There screening in Austin on January 21. Hit me up, press types.",non_ironic,0,0
40,The Grinch Stole My Sanity http://t.co/ufecic7o0f via @Etsy #lol #fun #funny  http://t.co/vZanL412f0,non_ironic,0,1
41,I can already tell today is going to be a wonderful day ,verbal_irony_polarity_contrast,1,1
42,"#hannity says ""Obama has been indoctrinated into a rigid ideology."" ",non_ironic,0,2
43,#NYPD  😟😕😢😪😞 not cute #NYPDMutiny I am sure the citizens feel real safe  you showed us who you are.,non_ironic,0,1
44,Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. ,non_ironic,0,1
45,I guess we're getting timed on who we can spend time with.,verbal_irony_polarity_contrast,1,0
46,Since when did train fare get so expensive?? Jesus! Might aswell of drove.... Shame I'm drinking ,non_ironic,0,1
47,Thank you for all your Retweets @jbboats #TopForm,non_ironic,0,0
48,"@melleegee it'll be ok, just get your TA to fix it!! ",non_ironic,0,1
49,@AntoniaZ @MontgomerySue @torontoist Awesome! And well deserved.,non_ironic,0,0
50,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",verbal_irony_polarity_contrast,1,0
51,"@davidwhite_ Nevermind that, but do pray tell,would Scherzy still play Grizabella?",non_ironic,0,0
52,My bed time stories are awesome  #theyllgiveyounightmares #ohwell #youaskedforit,non_ironic,0,1
53,@kemmerinB I'm gunna sit here and ,non_ironic,0,0
54,Responsibility = the ability to respond|To control yourself and be in charge of your life,non_ironic,0,0
55,@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! ,non_ironic,0,3
56,Goodie bags for 2nd grade are done! #whatsnext?,non_ironic,0,0
57,@loveeallyy I literally do not know,non_ironic,0,0
58,I didn't realize Boston Coach also operated in Chicago #irony #brands,verbal_irony_polarity_contrast,1,2
59,"Contemplating responding to @charliejnwalker's tweet saying ""what remains of their pride"" but not sure how well that will go down ",non_ironic,0,3
60,Merry Christmas @Battlefield @leveluptime @dirtydeathdog @zachulon @covernode @YaraTwit @VisceralGames XD Thanks for making #BFHardline ^_^,non_ironic,0,0
61,@houselanguage Thanks for pirating my music! :D #not,non_ironic,0,1
62,Andrew Luck is some kind of QB... Wowzers. #INDvsCLE,non_ironic,0,0
63,"#HybridCloud needs hybrid monitoring... monitor Azure, plus apps and dbs, from SCOM https://t.co/uJRpzYnY8y",non_ironic,0,0
64,@oimagenta Just abt 2 say d same  :) I'm not sure whether Oxford Brookes Uni is part of Oxford Uni. yet his CV is impressive still!,non_ironic,0,2
65,I was watching birds fly during this photo. http://t.co/Mo7wd4RXav,non_ironic,0,0
66,@wakkatidus1234 They say #not #responsible and your #NotWorthIt to offer even $10 #discounts for the worst #customerservice I have ever had!,non_ironic,0,0
67,Saying No to Them is the first way you say yes to yourself. ,verbal_irony_polarity_contrast,1,3
68,Why the fuck is Twitter telling me to follow myself in following someone?! http://t.co/FC4GrBeFP5,non_ironic,0,0
69,This is what we called OTAK LETAK KAT LUTUT.|#melayu | http://t.co/wPCuJxXhtk,non_ironic,0,0
70,I give people a break 2 say that without my supporting cast that none of my works would of made it is tosh. Did nobody get #Extras ,non_ironic,0,3
71,Funny your the broken one now Im the only one who needed saving.|,non_ironic,0,3
72,I had the best New Years!!!! Spent it with the people I love & I fucking loved it! 😍 Such a happy camper right now! 😝💚❤️,verbal_irony_polarity_contrast,1,0
73,@bmw937 stoked...,non_ironic,0,1
74,"he was half of what she deserved, yet he was all that she ever wanted ,,,, ",non_ironic,0,2
75,Only thing missing now is a session at the gym... Want to do every body part though and CV!  #possible,non_ironic,0,0
76,Meh...i don't think I'm a suit person.|~ Neil Caffrey||#TvQuotes|#WhiteCollar,non_ironic,0,0
77,In case somebody breaks in our apartment 🔪😵 http://t.co/3IhKK7AY1o,non_ironic,0,0
78,"@Bobert8675 this made me think of you ""@TFLN: (330): I need vodka mixed w a bit of holy water right now""",non_ironic,0,0
79,"You're any moment, every second,|Every scent and every flower|As a girl.",non_ironic,0,0
80,"yup, amazing how that is, isnt it? @AcePraline @TheLexZane @Eppic_Barz",non_ironic,0,0
81,"#ECB #pondering #how #best #to #act,  #whether ...: ECB pondering how best to act, not whether ... Reuters – 19... http://t.co/ve282x8yGy",non_ironic,0,0
82,@billisFPS you are sleeping? Wake up the next AC game has been leaked!!!!! #ACVictory http://t.co/oEyqK4fa0g,non_ironic,0,0
83,"Get on the work bus, driver turns his music on and the first song on is 'another day in paradise' #irony",non_ironic,0,2
84,Fuse blown in the media room! Too much hallway vacuuming. Chaos about to break loose. #CanCup ,non_ironic,0,1
85,"Honking at me whilst you drive past - so romantic, it makes me want to trace you through your number plate and be with you forever ",verbal_irony_polarity_contrast,1,1
86,Loving life. ,non_ironic,0,1
87,@DCsportsGrl @DragonflyJonez I believe we have n that's y we SUCK.,non_ironic,0,0
88,@MeraDharm @Swamy39 You do look a die hard fan of his ,non_ironic,0,1
89,@rrhhmmss @TimEchols1 @Penneeee I agree. You can see that from the videos and photos that were taken two hours after the shooting. ,non_ironic,0,3
90,FIND SXY LOV ON YOUR MOBILE >>> http://t.co/CsOsXXzZ6n!  #twink #engine #goldenkrust #greensmoothiegirl,non_ironic,0,0
91,"Final at 7am, I'm ready ",verbal_irony_polarity_contrast,1,1
92,Those were some great last minute substitutions @TomCrean ,non_ironic,0,1
93,I didn't know it's your territory I really. .. WHAT ARE YOU DOIN- no. . Please don't shoot at me I. .,non_ironic,0,0
94,I fell asleep posting my last post. ,non_ironic,0,2
95,Youve got to just love the efficiency @usps two-day service!  #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,non_ironic,0,1
96,"http://t.co/hh5lziJCIl #GapeLand #Super-sweet Super-sweet Lilli is simply adorable with her all-leg,&#8230;",non_ironic,0,0
97,just exactly how I wanted to start my day!!!  #shitty,verbal_irony_polarity_contrast,1,1
98,Why is there evidence of a stripper in my house yet I see no stripper in my house 😑💔 http://t.co/2KjUs8rotA,non_ironic,0,0
99,"@PeterEgan6 The badger crusade continues.|""Gloucestershire badger patrols triggered by illegal trapping fears""|http://t.co/rF5aAmpC5n",non_ironic,0,0
100,Lol at the #EatenAlive show. if that's the name of the show gotta do it not quit cause the snake was hurting his arm. #goodtv  #garbage,non_ironic,0,1
101,"@goodgary99 Good yeah its been good.. Feel tired my self, bed soon 😴😴 x",non_ironic,0,0
102,#PTIUKGoNawazGoCampaign||Show up at the peaceful protest infront of Lancaster house to greet our PM with respect ||,non_ironic,0,2
103,This should be fun next spring.  http://t.co/nb63wOUmKE,non_ironic,0,1
104,@JakePlank24 do you not work at the dirty bird no more?,non_ironic,0,0
105,#Ministers #criticised #over #train #deals http://t.co/IIQaJzqIXz,non_ironic,0,0
106,Makes perfect sense to get mad about something that happen 4+ years ago. ,verbal_irony_polarity_contrast,1,1
107,I just found out I have a 13th grade education: https://t.co/OujZNnuE96||I must have slept through that entire year ,non_ironic,0,2
108,Suppose I best move my arse to the #gym. Anything to put off wrapping presents 😕🎁 #christmas #chore,non_ironic,0,0
109,I am so ready for Monday. 🙆 #sarcasm,non_ironic,0,1
110,new shoes. kinda in love with an inanimate object. http://t.co/JRqIc9QyMk,non_ironic,0,0
111,Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?,verbal_irony_polarity_contrast,1,0
112,Xmas on the blog feat intimissimiofficial and @tweetcalzedonia * Read our story and share the LOVE... http://t.co/vp4rrfyr2K,non_ironic,0,0
113,"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.",non_ironic,0,0
114,"http://t.co/1izmy5gP0j nope, you do NOT fit that definition @RBRNetwork1 @JoeHilgerman @1_Free_Man @Anan_VII @ABPT_Rocket",non_ironic,0,0
115,"@normwilner Unless rogue theatres start showing it, or it gets sold online?",non_ironic,0,0
116,find ONE local PD that reported an 80% drop @RBRNetwork1 @TheOldBreed1775 @Dolphin__Man @Joseph_WarrenDR @jus1314tin @CoutoPanda,non_ironic,0,0
117,#ff By ideiasdebolosdocesedelicias. Such a different twist to the regular #frozen cakes :) We love this one! ... http://t.co/WSuhWFyhUC,non_ironic,0,1
118,I work in front of laptop for 8 hours a day and suffer terrible dry eye. #bloodshot  #eyerony,non_ironic,0,0
119,13 voice mails at work is always lovely #not,non_ironic,0,1
120,@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. ,non_ironic,0,1
121,@dairymanNZ Its called  @DairyGirlNZ,non_ironic,0,0
122,The good thing about college is that you're not asked to do evens or odds or even the back page of your worksheet. ,verbal_irony_polarity_contrast,1,1
123,Oh this is back in #AdvancedWarfare XD|#JustCODThing http://t.co/qAP5SgoQnh,non_ironic,0,0
124,MB forgot to move the elf on shelf and now 10 is asking me if Christmas is real. 😥@NannyProbss,non_ironic,0,0
125,Gawd! I love 9am lectures and 4-6pm lectures. ,non_ironic,0,1
126,Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing,verbal_irony_polarity_contrast,1,0
127,@Elena_in_Rome easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen#not good enough#gutted,non_ironic,0,0
128,#USA: Senate summary report on #CIA detention programme must  be end of story http://t.co/eFNfDOXclr # http://t.co/thk4aZ7OZE,non_ironic,0,0
129,My Com professor keeps talking about Twitter. ||Lel,non_ironic,0,0
130,"@ban_postgate though, I suspect you don't actually care about the truth, so whatever, go troll someone else ;-)",non_ironic,0,0
131,can I just own an isle far away from here where my house is stunningly beautiful with only some closed ppl who appreciates me as a human,verbal_irony_polarity_contrast,1,0
132,@LizardPatrol wow u brought down xbox live arnt you amazing  why don't you do something more productive like grow up,non_ironic,0,1
133,"Awake this early on my only day off before christmas...feeling ill banging head, bunged up, shivering... Just what I need!!!! ",non_ironic,0,1
134,Rejoice in knowing he is now in his new place...#not easy,non_ironic,0,0
135,"My dad's still gonna get me santa's gifts since it's my last year before 18, but I really don't know what to ask for... #irony",non_ironic,0,2
136,@MauriceFosso now that's just mean.  #sorrynotsorry,non_ironic,0,1
137,@EZonelectronics @Vh1Supersonic |Yo boy! You guys are know to keep the party mood going. |#EzoneGoaDiaries. http://t.co/ovsi1cyLFr,non_ironic,0,0
138,This link will be relevant in a couple of days. http://t.co/EH75woor3u,non_ironic,0,0
139,Two years later & gingerbread house making still makes me cry.,non_ironic,0,0
140,"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that  #retweet#ifagree",non_ironic,0,2
141,comparing @elasticbox to @hashicorp #atlas ...,non_ironic,0,0
142,Don't forget to join @midtown_1015 for #Steak Night tonight starting at 4pm! #nyc #food #foodie,non_ironic,0,0
143,The ones that caught me by surprise were the ones I didn't expect #duh #redundantredundant,verbal_irony_polarity_contrast,1,0
144,Last day of the working week and let's see just how bad it can get! #positive ,non_ironic,0,1
145,"@ollielocke for the #yoga people out there, this is a Down Faced Dog dinner! #MerryChristmas http://t.co/fP25vVmS0z",non_ironic,0,0
146,"@bigedh456 thanks babe, hope you have a good one too 💕🎊🎊",non_ironic,0,0
147,Erasure by Percival Everett and Pym by Mat Johnson....So there is black literature after the Black Arts Movement  #ChangetheCanon,non_ironic,0,2
148,"well now that i've listened to all of into the woods, i'm going to listen to some FOB #nosurprisethere",non_ironic,0,0
149,@SidewalkJR Not passing judgment. Been in many binds before and actually love the creativity. Vodka is a versatile liquor.,non_ironic,0,0
150,Lagopodous - Like a rabbit's foot!!|Not so easy to drop into conversation but you never know.,non_ironic,0,0
151,Cooper's been busy today  http://t.co/StCUsUTr0u,non_ironic,0,1
152,Being average will only get you average results.,verbal_irony_polarity_contrast,1,0
153,"Family time is nice and all, but I'm ready to be back at work on this fine morning. ",verbal_irony_polarity_contrast,1,1
154,#obama @DemocratWire announce special urgent package for #Pakistan .. supported by @GOP to enhance their fight against obscurantists. #NOT,non_ironic,0,3
155,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,non_ironic,0,0
156,In need of a rose winee🍷🍷,non_ironic,0,0
157,Its gonna be a loooong day..  but yolo lets have fun 😆 ,non_ironic,0,1
158,I don't wanna hate religious people. Cos i am one of them. I'm so religious in music. #ahaa ,non_ironic,0,3
159,You are most welcome! Loved the post :D @_ladyinviolet,non_ironic,0,0
160,What a lovely day to drive #not #boo #fog #work 😳😳😳 http://t.co/tjJkA1yhq6,non_ironic,0,1
161,@cavs THAT'S WHAT I'M TALKING ABOUT! Awesome Win CAVS!!!!!!,non_ironic,0,0
162,"@XboxSupport hello, can you give me an guess when Xbox core services will be fixed?",non_ironic,0,0
163,@Mr_laddu and if Marathi man speak hindi to Chu*** samajhte hai #irony,non_ironic,0,2
164,Cool to know I have people I can talk to when having a shit night. ,verbal_irony_polarity_contrast,1,1
165,#working.blues.enough.vacation.days http://t.co/zSTyQiRUt5,non_ironic,0,0
166,I now have ZERO resect for DeMarcus Cousins.,non_ironic,0,0
167,Pediatric Grand Rounds on statin therapy and the dyslipidemia of obesity. Breakfast on offer is 2 grand platters of donuts. ,non_ironic,0,2
168,It's always the little things that's attracts me,verbal_irony_polarity_contrast,1,0
169,Cause I love going to bed alone every night.. #not,verbal_irony_polarity_contrast,1,1
170,Hell has frozen over. Literally. #Texas2015.,non_ironic,0,0
171,day 3 : sun|but it's not sunny today ☁|#DecemberPhotoChallenge #france #sun #or  #today #day3... http://t.co/3VwAoBdXQM,non_ironic,0,0
172,@Giants ooooo touching myself to ODB he is the greatest Giants player to ever play the game... Screw that the best player ever!! ,non_ironic,0,1
173,"can the next person who wants to educate me on any point please be very bloody educates before they speak to me, getting bored now",non_ironic,0,0
174,Falling asleep to the sound of rain is so relaxing ☔️,verbal_irony_polarity_contrast,1,0
175,@rioferdy5 my mum to be back with us for Xmas 🎄,non_ironic,0,0
176,@stillfallin_ great Christmas. ,non_ironic,0,1
177,@ALL #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,non_ironic,0,0
178,@GazTheGooner84 oh right do you know John Parker the pisshead @ParkzTheDon,non_ironic,0,0
179,The song was 'don't cry for me Argentina' #irony,verbal_irony_polarity_contrast,1,2
180,Merry Christmas to all those soldiers out there that couldn't make it home! I love you all ❤,non_ironic,0,0
181,dayumm!! chtis brown is ma maaayuun!!😂😂😂 http://t.co/DNgdZhBKuH,non_ironic,0,0
182,@Kennyade92 @RC1023FM there are more lawful ways the lawmakers whould av gone about gaining entrance not by breaking the law  kind of,non_ironic,0,2
183,"@BestProAdvice @IntThings More clean OR cleaner, never more cleaner ",non_ironic,0,0
184,"Just as the microphone fails: ""If we were having this conversation 100 years ago..."" @disruptivedean #WebRTC #WebRTCParis ",non_ironic,0,2
185,That was a very rememberable new years kiss 😂💋❤️ #lovemyrelationship,non_ironic,0,0
186,Hafeez's slider is TOO much of a mess. Bowling it from 'back-of-the-palm' & that too at ~90kph require EXTENSION http://t.co/KiGLPZY876,non_ironic,0,0
187,marty posts FACTS with PROOF you? you make shit up @RBRNetwork1 @IndyEnigma @TheOldBreed1775 @jus1314tin,non_ironic,0,0
188,@ATVIAssist it's finally open XD I used a youtube video to help me :) Thanks very much ;) http://t.co/gaZvpumBcD,non_ironic,0,0
189,@superaielman @Parlett316 the upper deck definitely seemed like Philly South.,non_ironic,0,0
190,Monday morning inspiration! #sarcasm #itstruetho #donttrustnobody #iwokeuplikethis... http://t.co/DQeFbx80v5,non_ironic,0,1
191,"Woke Up , showered , made a lunch and got ready for work only to realize that I have the whole weekend off. 😅",verbal_irony_polarity_contrast,1,0
192,@mhairiduncan8 just trying to confuse you all 😘,non_ironic,0,0
193,Love games during the week because I don't get to go to sleep until like 1! ,verbal_irony_polarity_contrast,1,1
194,Taking Over the mansion with the Mexicans @MikeyGlander,non_ironic,0,3
195,Go go Power Rangers! #f2xmasparty  http://t.co/A8xOlFt1ub,non_ironic,0,3
196,@cllr_alambritis @Merton_Council No reply. What a surprise. ,non_ironic,0,1
197,Being used is such a great feeling...,non_ironic,0,1
198,I love waking up five minutes before I have to be at school... ,non_ironic,0,1
199,@MaggieWinter21 your last retweet though ,non_ironic,0,3
200,@cnsnews Obama and Hillary convinced Ukraine that they would protect them if they essentially disarm. Need to keep at least one promise.,non_ironic,0,0
201,@GazGShore please make me smile this Xmas.. First Xmas without my mum here. Your my fav everrr. Pleaseeee🎄🎁🎁,non_ironic,0,0
202,#Lance #Stephenson #not #traveling #with #team #on two-game #road #trip: Stephenson is still unable to run fully... http://t.co/Jbb0PJtWJy,non_ironic,0,0
203,"'#Do  #Fear #to #be #Eccentric #in #Opinion,  #for #Every #Opinion #now #Accepted #was #Once #Eccentric.' by Bertrand Russell",verbal_irony_polarity_contrast,1,0
204,@AndrewDBailey Tough crowd. Josh Smith was tremendous tonight.,non_ironic,0,0
205,"1 bed flat #ToLet £550 pcm (£127 pw)|Humphrey Middlemore Drive, Harborne, #Birmingham B17|http://t.co/QHYcB5zKEv",non_ironic,0,0
206,http://t.co/cbS3YfyKGw #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL http://t.co/Cy19OKfojm,non_ironic,0,0
207,@SurianibteAbu if it got the attention of the smartass to comment that.. Didnt it work anyway?? #irony,non_ironic,0,3
208,has anyone visualised the different colours and flavours of twitter streams? kinda lipmus test.,verbal_irony_polarity_contrast,1,0
209,Florida authorities say 1 police officer shot and killed http://t.co/DjcjLrbeRw #Florida #TarponSprings #TampaBay,non_ironic,0,0
210,"@lucasharriss_ Ok, hope it will rain soon  😖",non_ironic,0,1
211,@DeformedCircus I guess not. Stop insulting me.,non_ironic,0,0
212,I can see it in your eyes.. #Kingofpop #mjackson #michaeljackson #invicible #breakofdawn #king #is  #dead 💜... http://t.co/FCepZG7UUr,non_ironic,0,0
213,@ClayTravisBGID One could hope. ,non_ironic,0,1
214,We hold these kids back.....  #RUT340,non_ironic,0,3
215,How to Find a Life Coach (& the questions you need to ask before hiring one) http://t.co/8qgrXywmNe via> @DrGaryWood,non_ironic,0,0
216,Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun ,non_ironic,0,1
217,Quizfreak http://t.co/Xh84TdHpoc #proud #Brummie over here xxx,non_ironic,0,0
218,YOU blame him for everything else @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @DrPenisWrinkle @kusun0,non_ironic,0,0
219,@TonyRohrs they've spread their positions off with long feeder cattle! #sarcasm,non_ironic,0,0
220,Ppl make blanket statements about a whole race as a defense that they are sick of hearing about race ,verbal_irony_polarity_contrast,1,2
221,Ohhh the joy of getting pulled over 💚  http://t.co/13fB4tnEi4,non_ironic,0,1
222,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated! ,non_ironic,0,1
223,#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office ,verbal_irony_polarity_contrast,1,2
224,I'm ready for @kongosmusic's first headlining tour of North America! Tickets/info at http://t.co/Nyq2fYa8kI #lunatic2015,non_ironic,0,0
225,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,non_ironic,0,1
226,MT Darth Vader is polling higher than all potential 2016 US presidential candidates http://t.co/Kuv3dp8pZm|Are you surprised? ,non_ironic,0,1
227,@JenWilliamsMEN @PolicyGMCVO he captures the spirit of devolution so well ,non_ironic,0,1
228,Wow I'm seriously dying here 🙈🙈,verbal_irony_polarity_contrast,1,0
229,@ChainAttackJay No sugar during christmas time? :(,non_ironic,0,0
230,"@UoCDisSupp @DuchenneNow @ActionDuchenne @Duchenne_Heroes I'm off to visit great-nephew very ill, only 20  fair",non_ironic,0,0
231,You are taking your responsibilities so seriously today that i... More for Leo http://t.co/HJ6TebH4o6,non_ironic,0,0
232,"@COD_WATP he offered it but he made it sure the board refused double 16m in October, all in Rangers interest ",non_ironic,0,1
233,#Israel #freezes #funds to #Palestinians #over #ICC #approach. http://t.co/kYY2bOdfs3 via @reuters,non_ironic,0,0
234,Caribbean girls anthem Caribbean Girls by Stainless MOB now in stores online http://t.co/gSMHCTKPvV #IYON #Dancehall,non_ironic,0,0
235,Rocking the Christmas socks at work. It's the little things like this that make me happy. #essentialservice 🎅🎄 http://t.co/E5jqetthIt,non_ironic,0,0
236,im in some place where the word 'job' means stealing,verbal_irony_polarity_contrast,1,0
237,http://t.co/PfJ92w4CwZ #TeenAnalCasting #Top Top 50 Christian Songs For 2012,non_ironic,0,0
238,"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE""",non_ironic,0,0
239,Ideology in a nutshell - the meaning of life in a sentence for every perspective. http://t.co/M6GIHxEHe8,non_ironic,0,0
240,That moment when you want to break someones fingers😡😡😡😡😡,non_ironic,0,0
241,@baltimoresun Hate it. Go back to the old format please.,non_ironic,0,0
242,I'm shocked that Mark May doesn't think the Buckeyes should be in the playoff!!! #Sarcasm,non_ironic,0,1
243,I wish a mf would 👊👊| my day!,non_ironic,0,0
244,Just got the message I need to start working at another location. Brilliant!  now rushing towards second location. Oh god I hate Mondays,verbal_irony_polarity_contrast,1,1
245,"The excitement for #EVC14. |Follow @EVC_India, answer simple questions and win passes for the gig. |#GetEnchanted http://t.co/neaZKoIv7t",non_ironic,0,0
246,"But not a grocery store or pharmacy. Sensible.  ""@GRPress: Offices or apartments? owners of Monroe Avenue factory ponder options""",verbal_irony_polarity_contrast,1,1
247,Interesting stats. PO's are good! The bad apples ruin it for all.|http://t.co/bqIn0clXjc #tcot #Ferguson #EricGarner,non_ironic,0,0
248,When you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling #not,verbal_irony_polarity_contrast,1,1
249,50km into the #Rapha #festive500 and we stop off for a Coffee#1... Toes are coming back to life @willbmx,non_ironic,0,0
250,Just a @ScienceDaily article re: a robot arm you can control with your mind. Meh. Nothing huge. #sarcasm #science http://t.co/AK4bAorhBc,non_ironic,0,1
251,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came. ",non_ironic,0,1
252,|Jihadi killers in #Ottawa #Sidney & #Peshawar are rogue acts while|FratBoy UVa Rapists are symbolic of deeper societal flaws...|#tcot,non_ironic,0,2
253,"I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat",non_ironic,0,0
254,Insanity is doing the same thing twice and expecting different results,verbal_irony_polarity_contrast,1,0
255,Sitting around listening to sad music really helps the depression. ,non_ironic,0,1
256,HAHAHAHA!! Oops.......I'm addicted to @OneMoreJoke Tweets sooo FUNNY! You Got to follow him for #HILARIOUS #SARCASM #tweets #RT.,non_ironic,0,0
257,@PeteKopite the lineup is full of goals and offensive intention #LFC ,non_ironic,0,1
258,"I think my friend just sent @FrankieBallard a snapchat of me drinkin water, cuz she's fun like that #sarcasm #rehydratewhenyadehydrate #brat",non_ironic,0,1
259,"Christmas Day,Boxing Day and New years day off just isn't enough! So much to do for me & others this month  #enough #hours #in #the #day",verbal_irony_polarity_contrast,1,0
260, is just #one of the many services I offer to #people who ask #stupid questions.,verbal_irony_polarity_contrast,1,0
261,way to prove that women are more than just breasts & an ass...  😒,non_ironic,0,1
262,Pretty sure I just sat behind @sorensensci in the McDonald's drive through and peeked to see movie what was playing 😂,non_ironic,0,0
263,@craigcalcaterra Let me put my bet in with whoever would take action on such a thing... I'd think Oliva & Howsam should be easy.,non_ironic,0,0
264,@TyQuorshaaa: Jackie Just Had the Best Joke I've Heard In Awhile| 😂😩🙈🙈🙈,non_ironic,0,1
265,@94irwinjb I'm so persuasive lol ,non_ironic,0,1
