,tweet,predicted_class,predicted_label,actual_label
39,"@JimmyRollins11 I hope you know how much we really loved you here in Philly. To the greatest shortstop in Phillies history, thank you!",irony,1,0
40,480 W crawling at 7:30 am. Great start to Thursday. #CLEtraffic #cleveland #traffic,non_ironic,0,0
41,Anamorphosis:placing objects so that viewed from a certain angle they create an image. |By French artist Bernard Pras http://t.co/3EQo36OVUw,non_ironic,0,0
42,I love when I write a tweet wrong. 😊 ,irony,1,1
43,I'm such a good friend...  http://t.co/c1sNYAVVDp,non_ironic,0,1
44,These refs are pissing me off. They seriously have no idea of what's going on.,irony,1,0
45, @ Speakeasy http://t.co/1bg6Y6U0ax,non_ironic,0,0
46,"#LeBron #James: '#Violence #is  #the #answer': LeBron James said Thursday that ""violence is not the answer and... http://t.co/GPz3D9TIUV",non_ironic,0,0
47,#UKPLUS= Consists of Free Lebara2Lebara 3000MINs and 3000SMS UNLIMITED. #NO UNLIMITED SMS TO OTHER NETWORK Only consists of 1000SMS,non_ironic,0,0
48,Happy Monday all!  #pbloggers #mbloggers,non_ironic,0,1
49,For those of you that LOVE this time of year.  https://t.co/r6utbrXVrU,non_ironic,0,1
50,"@Esmerodo @MonteMcNaughton @MacLeodLisa Yes, and conventional taxis drive verrrry safely. #pfft #sarcasm",non_ironic,0,1
51,working on my birthday #yay  #sucks,non_ironic,0,1
52,So kind of occ health to book my tb skin test on my day off uni. I am thrilled ,non_ironic,0,1
53,@astewart91 you're hilarious...,non_ironic,0,1
54,.@nypost .@Cameron_Gray Oh that makes it all better!!! ,non_ironic,0,1
55,#Israel #raps #Palestinian #U.N. #draft as '#gimmick.' http://t.co/WCzRGou038 via @reuters,non_ironic,0,0
56,@Redsaint76 I don't think. I know!,non_ironic,0,0
57,@K_TR69 @tracieeeeee @KDunham4Prez too much of that herb. New trend of potheads contributing to society maybe? Darn that ,non_ironic,0,1
58,@_Liam_Walker_ but  in term time my son........ 😆😎,non_ironic,0,0
59,I love being wide awake at 4am  #insomnia #nosleepdecember,non_ironic,0,1
60,"@goodgary99 Good yeah its been good.. Feel tired my self, bed soon 😴😴 x",non_ironic,0,0
61,"Tax & NI on your wage slip is like Jim Bowen on bullseye goin ""look what you coulda won"" #rubbingitin #crap http://t.co/3zJlaxxgUu",non_ironic,0,0
62,"@WNSource So we can see Reigns do a lame superman punch & a spear? Gee, can't wait! #RAW ",non_ironic,0,1
63,Easiest final of my life. So glad I studied 11 hours for it ,irony,1,1
64,"First final of the day done, only three more to go. #greatscheduling  #incaseyoucanttell",non_ironic,0,1
65,#LRT -- Gee. Good thing there's no #WarOnWomen. ,irony,1,1
66,I don't have to respect your beliefs.||I only have to respect your RIGHT to have them. ||#atheist #atheism,irony,1,0
67,Short hair  #really http://t.co/yafC94nyZ4,non_ironic,0,0
68,I hate babysitting when I'm sick because all I wanna do is sleep but I can't 😔,non_ironic,0,0
69,Taking Over the mansion with the Mexicans @MikeyGlander,irony,1,1
70,I love how today is going ,non_ironic,0,1
71,Fuck getting a flat tire and my car dying coming home from work at 5am. Thanks god for my friends. Great way to end/start my day ,non_ironic,0,1
72,@lauraaball_ Prepare to get mucked  #imissedu,non_ironic,0,1
73,way to prove that women are more than just breasts & an ass...  😒,non_ironic,0,1
74,I feel and look like shit. #rainyday #nomakeup #sorrynotsorry http://t.co/xxPU1lb2ki,non_ironic,0,0
75,I'm fricken peachy today!! ,non_ironic,0,1
76,@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps ,non_ironic,0,1
77,Ah @tonyblackburn soul show making my Sunday morning at work more bearable #cold yet #happy,non_ironic,0,0
78,@ceddamack The Raiders are. I guess we'll see how things play out tonight.,non_ironic,0,0
79,@lb_southwark Why don't you Tarmac all the speed humps in The Cut in 1 go instead of bit by bit as the brickwork disintegrates!|🚀Science,non_ironic,0,0
80,When Santa looks up my name 😏🙅👑|#sassy  #naughty #or #nice #instagood #instadaily #Christmas... http://t.co/Srg3ScPt4B,non_ironic,0,0
81,@anthonyboutall - Russell Brand discussed today how much his London mansion is worth..and Marx was married to a baroness  #scum #weak,non_ironic,0,1
82,"Great, I've got a lung infection. This is fun. :/ | #notfun #miserable",non_ironic,0,1
83,Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing,non_ironic,0,0
84,Trying to eat crackers on the quiet floor likeee.. Maybe if I chew slower no one will notice..#not,non_ironic,0,1
85,@TorontoStar: NDP to introduce bill to make OHIP public #not appropriate # confidentiality,non_ironic,0,0
86,"I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||",non_ironic,0,1
87,Might go back to bed it's easier then making the effort @PatrickRowe123   #wrong 😂😭,non_ironic,0,0
88,I am the happiest person ever when @kacimaier wakes me up in the morning! ,non_ironic,0,1
89,Such a great damn day. ,non_ironic,0,1
90,A #Meme for your #Monday! #MemeMonday #Obama #Obamacare #AcidReflux  #StandUpShot #JokeoftheDay #Comedy http://t.co/C67x0Iq4CT,non_ironic,0,0
91,@malesurvivor72 I think it's a safe bet it won't fit the crime.,non_ironic,0,0
92,Love that my buses are every half an hour😠😡😤 ,non_ironic,0,1
93, much!!,non_ironic,0,0
94,"http://t.co/hh5lziJCIl #GapeLand #Super-sweet Super-sweet Lilli is simply adorable with her all-leg,&#8230;",non_ironic,0,0
95,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came. ",irony,1,1
96,That was a great 3 hours of sleep ,non_ironic,0,1
97,What I learned today??? You can choose to live a fearless life. #iam #fearfree  #fearfull,non_ironic,0,0
98,Why is there evidence of a stripper in my house yet I see no stripper in my house ???? http://t.co/2KjUs8rotA,non_ironic,0,0
99,Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!!  #needmoresleep 😴💤😕,non_ironic,0,1
100,"I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.",irony,1,1
101,Why can't heroes be happy in DC Comics? I mean even their great flagship romance ( ) is a Fauxmance and will bring about destruction,irony,1,1
102,Feeling artsy tonight. #artsy#homealone#vienna#studentlife @ b&e's apartment http://t.co/Ct85mmtf5H,non_ironic,0,0
103,I'm not really sure how I'm still alive and writing this paper right. Napping instead of sleeping on the weekends isn't cutting it #finals,non_ironic,0,0
104,@FoxNews Just put it in first gear and they will move. Liberals won't ever give their life for a cause. They will just destroy yours.,irony,1,0
105,#HowToGetUnfollowed Post pictures or videos of you smoking. Especially blowing smoke at the camera. #SoCool #Not #GTFO,non_ironic,0,1
106,I really want to see Into The Woods!,irony,1,0
107,"@mike_coogan Sky News says ""he died"" like as if he dropped dead in hospital lol - real honest reporting ",non_ironic,0,1
108,White people are irrelevant at this point. The black community needs to rise ABOVE y'all are in control!!!!!! #truth,irony,1,1
109,"@Bobert8675 this made me think of you ""@TFLN: (330): I need vodka mixed w a bit of holy water right now""",non_ironic,0,0
110,@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.,non_ironic,0,0
111,The fandom showing its mature side as always when it's about this kind of topic ,non_ironic,0,1
112,"when you refer to yourself in the plural, you'll get that @RBRNetwork1 @billvanglahn @HondoLane @Dolphin__Man @jus1314tin @SpringThunder",non_ironic,0,0
113,"@Salon dualistic, as in good and evil? Right, because that doesn't apply to the real world.... #sarcasm #OrcsLive",non_ironic,0,1
114,Last day in #Riga! #self #finnishgirl #businesswoman  @ PK Riga Hotel http://t.co/3Svv5QciFq,non_ironic,0,0
115,I am 100% sure that the cereal box I just decorated is an accurate representation of how well I know the book. ,non_ironic,0,1
116,"@CaycePryhs Careful, Cayce. That's almost a racist statement.  @william_1492 @CaseyParksIt @PhyIis",non_ironic,0,1
117,Can't wait till my birthday ,irony,1,1
118,The #irony is anti state ppl will claim the little man (hacker) won when in reality the state won #sony,non_ironic,0,1
119,Ohhh the joy of getting pulled over 💚  http://t.co/13fB4tnEi4,non_ironic,0,1
120,🎉It's Monday! 🎉 ,non_ironic,0,1
121,"@JeffDauler @Scottydons87 the cop also had prior misconduct charges. But, ya know, that's ok #sarcasm",non_ironic,0,1
122,I love when my mornings start off like this. ,non_ironic,0,1
123, #Congressmen Admit to  reading #NDAA before #Voting http://t.co/w96dClsclK |<3;-}><3|Via @udegmx|<3;-}><3,non_ironic,0,0
124,So Aaron sorkin goes on @todayshow  to talk about not liking the media talking about Sony hack? Using media to bitch about media? ,non_ironic,0,1
125,Ohio State putting it #OnWisconsin ... No match.,irony,1,0
126,@neverczarina trying hard to be fragile and petite. Hahaha. Happy new year liabeeeeee more clingy moments ??????,non_ironic,0,0
127,@kobebryant  don't you see the  for call teammates soft when you haven't been to practice in 2 weeks?  #overpaid.,non_ironic,0,1
128,Lesson learnt? Herd of sheep who fought over TVs on #BlackFriday struggling to sell them http://t.co/OMXl5ZPOdY #irony #capitalism,non_ironic,0,1
129,My death will likely be caused by  at the wrong time.,non_ironic,0,0
130,lol drunk mom on Christmas is so fun...  #thisisadisaster ☺🔫🍸,non_ironic,0,1
131,Hmm...Scott Mitchell v Tony O'Shea or Phil Taylor v Raymond van Barneveld...what a difficult decision!!!  #DartsWorldChampionship #PDC,irony,1,1
132,Really looked forward to waking up this early for finals...... ,irony,1,1
133,@BeingPerry you sound just like Jack Kerouac |,non_ironic,0,1
134,Apparently it's hang up on Ashley day😄,non_ironic,0,0
135,https://t.co/q3Oaw29oGV I forked node!  Get ready for the future.  (Where's my interviews) ,non_ironic,0,0
136,Reunited with my pump this morning. #yay #not ??,non_ironic,0,1
137,because learning for the finals is fucking amazing. ,non_ironic,0,1
138,@AnimaILife: I think I can make it http://t.co/fb4erBNdty// Aaaawww  ... @scotsellie @booona06,non_ironic,0,1
139,@numbdave Because we all know that a house is a hermetically sealed environment!  @askegg @SecuLawyer @star2000dancer,non_ironic,0,1
140,#034i #100 #Glitter #Inside #Just #Lamp  #Of|Please RT: http://t.co/vqdSrYluKI http://t.co/FAJXkzU0FG,non_ironic,0,0
141,Gonna need K-State to play a little better but loving seeing this team in action with beckthies http://t.co/8ofONvoqcN,non_ironic,0,0
142,Shout outs to the guy who took a shower in 1 Million before heading out. The WHOLE BUS thanks you ,irony,1,1
143,"In case you haven't heard, this is happening - #WingedWarriors - http://t.co/SwUnbDChcB http://t.co/Uq01NXXusO",non_ironic,0,0
144,#Analysis -- #Economic #issues #whip #up #Israelis #in #chocolate #pudding #election. http://t.co/5Fw5ymVB35 via @reuters,non_ironic,0,0
145,waking up congested/not being able to breathe is a great feeling.  😑,non_ironic,0,1
146,"@amyengineer @daverdfw you drive a ferrari, right? you being a beautiful clever woman?",non_ironic,0,0
147,http://t.co/K69PvdLaA5 #TeenAnalCasting #2003 2003 Ford F-150 XLT Mulberry FL 33860,non_ironic,0,0
148,Shoutout to my mom for being hella supportive of me ,non_ironic,0,1
149,@RWwatchMA Deutsch is a misogynistic toad; how shocking he's a bigot too  .... #HandsUpDontShoot,non_ironic,0,1
150,"@quiksilverindia I guess the picture will answer it. |Still , Answer 7 - Above and Beyond.|#QuiksilverGoesSupersonic http://t.co/5BXf58modI",non_ironic,0,0
151,You can spit on a rose but it's still a rose.  #contempt    #mockery,irony,1,0
152,It's just SUPER to be ignored when you put out a desperate plea. ,non_ironic,0,1
153,"@StartUpGrindBuf @magnachef If you need a #dev #environmnet #then  #a #great #pick. For #regular #web #stuff, I #do #like #it",non_ironic,0,0
154,"Dear Next Person that seeks to educate me on anything PLEASE be very educated themselves, which means knowing multiple points of view http:...",non_ironic,0,0
155,"You keep cops and civilians accountable with body cameras RIP Eric Gardner .Cameras don't keep people accountable , people do",non_ironic,0,1
156,"@Chxta They were probably, contracted to work for free. ",non_ironic,0,1
157,Hahahhaha that really made me jelouse ,non_ironic,0,1
158,NO PAİN- NO GAİN ! |#Fit #Fitness #gym |#No  #Give #Up 👊💪 http://t.co/SUDpHIbdEZ,non_ironic,0,0
159,Monday mornings are my fave :) ,non_ironic,0,1
160,".@JaniceDean, Michael Bloomberg will be wearing his speedo for the #GlobalWarming with his bodyguards.  @FoxNews ",non_ironic,0,1
161,Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee,non_ironic,0,1
162,@OpEdMarketing Is it snowing in Canada? Just on the hills here at the minute but hoping for a white Christmas,non_ironic,0,0
163,Love that I still have kids that still wake up early on Christmas  #justkiddingIlovethem,non_ironic,0,1
164,"@TheGodlessNorth Indonesia does: blasphemy laws & ministry of religious affairs,which also happens to be the most corrupt ministry. ",non_ironic,0,1
165,@SidewalkJR Not passing judgment. Been in many binds before and actually love the creativity. Vodka is a versatile liquor.,non_ironic,0,0
166,Flooded basements are always a fun thing to deal with ,irony,1,1
167,People in this school seem to amaze me.. ,irony,1,1
168,@BBCRadMac @StuartMaconie years ago in M && S in Rochdale they had 2 left shoes on sale with a £5 reduction from full price! #bargain ,non_ironic,0,1
169,check it out! http://t.co/AMtMNUl9YN ,non_ironic,0,0
170,@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..,irony,1,0
171,Earn cash by Posting & Tweeting! |http://t.co/2667mS1bHz ||Get started at http://t.co/GViBiZ4ZsH||#CashForContainers #homebasedbusiness #LOL,non_ironic,0,0
172,@iamgiant would wear this #proudly... size #NZ hahaha,non_ironic,0,0
173,"@jodalatour @FoxNews GOP loves immigration. They don't like illegal border crossers, illegal Presidential action and ignoring Constitution.",irony,1,0
174,8.30am conference calls.|#love ,non_ironic,0,1
175,Aaaaaaand...I left my work computer at home. Now I have to go get it. #BestDayEver ,non_ironic,0,1
176,"@firstpostin At the same length, we should not forget about the fundamental communal sanghi Hindu fanatic RSS in our backyard. ",irony,1,1
177,@SocialxClub HOW DARE YOU HAVE FUN AS CHRISTIANS! WE ARE SUPPOSED TO BE BORING AND HAVE ZERO FUN! HORRIBLE CHRISTIANS! LOL #MISFIT ,non_ironic,0,1
178,@TheStarPhoenix #spnews #yxe I hope you weren't driving when you took that picture. #irony,non_ironic,0,1
179,"Heartless Sanghi #Sarcasm""@Retributions: #IndiawithPakistan because a dumb nation deserves to be taken for a ride again and again. #Lakhvi""",non_ironic,0,0
180,@GlasgowCC doing a great job...   What do I pay my extortionate council taxes for? #Disgrace #OngoingProblem http://t.co/FQZUUwKSoN,non_ironic,0,1
181,@NickMeisl his song Angel of Death is a good one. It has lyrics bashing the Vatican ,non_ironic,0,1
182,@Buster_ESPN I see what you did there,non_ironic,0,0
183,@DejanLovrenLFC6 your #ambition is #amazing.  #saintsfc enjoy exit from #ChampionsLeague,non_ironic,0,1
184,It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy ,non_ironic,0,1
185,"oh yeah, that was funny as hell too, @HondoLane @brownbearmike1 @billvanglahn @Dolphin__Man @SpringThunder @TimOwensby @RBRNetwork1",non_ironic,0,0
186,save your work folks. i'm offically cntrl-alt-deleting this week.,irony,1,0
187,Thank you for all your Retweets @jbboats #TopForm,non_ironic,0,0
188,@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!,non_ironic,0,0
189,@nasa ooh I can probably watch a replay or the #orion launch at some point? Oh wonderful. That's sooo exciting  #nothanks,non_ironic,0,1
190,My boy has another cold and spent the night coughing and sneezing all over me #sexy ,non_ironic,0,1
191,I love waking up at 4am everyday and then running 5 miles.. favorite part of the Army :) ,irony,1,1
192,I was trying to type parkside and it turned to paradise #coincidence #i #think ,non_ironic,0,0
193,It's currently Fair and 4℃ outside.,non_ironic,0,0
194,Sports rock so hard sometimes. ,non_ironic,0,1
195,@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;),non_ironic,0,1
196,http://t.co/Y3Dn0FIlw5 #WOW #CRAZYkids http://t.co/7TfL9AteCu can fix this. #OutofControlKids #DrPhi... http://t.co/3DaLk6wpzk,non_ironic,0,0
197,@TheTweetOfGod Even you have to think the Religious Freedom Restoration Act in Michigan is ridiculous.,non_ironic,0,0
198,Oh how I love listening to Fox News in the background while opening presents. ,non_ironic,0,1
199,Of course one of my lecturers happened to be at the bar/restaurant we are at for my birthday meal...,irony,1,0
200,Climate change redux: CALIFORNIANS experience drought & voted for bonds to cover.Climate changed &now we have most rain in 100 years. ,non_ironic,0,1
201,Fans watch #tylerfarr in concert at @amaliearena #countrymusic #throwdown1035 #tampa http://t.co/czBbGnn3DU,non_ironic,0,0
202,"#Foreplay, #cuddling – a #Jedi #craves  these #things"" - #Yoda #Quotes|http://t.co/cwFAI8AFKI",non_ironic,0,0
203,"soon, stop, wtf, and omg are deff my fav things to hear 😂 ",non_ironic,0,1
204,So excited to spend the next 12 hours at school. ,non_ironic,0,1
205,Tripped over my own feet three times in the hall #soclumsy,irony,1,0
206,@jimjefferies you are by far the funniest prick in the world at the moment. Can you please come to Geelong? We have a normal mayor.... ,irony,1,1
207,"@AndLeoHud You're on my ""People Who Antagonize Me"" list. http://t.co/MpNrw3Dq1s via @99u ",non_ironic,0,0
208,@ardhow @Jmroberts343Jmr @Squarehighways |Thats a twist|Algorithms to cause more congestion & increase pollution|Too bizarre to be true #not,non_ironic,0,1
209,I just want to eat pizza and be with my friends for the rest of my life,non_ironic,0,0
210,@fbourdeau @ChrisLaBossiere @alexabboud All the more reason for it. Competition breeds innovation & the consumer wins.,irony,1,0
211,: Historians collecting correct facts about wrong abuse. #Correct=#Wrong #FactAboutAbuse,non_ironic,0,1
212,"Fell asleep @ 8:30pm, woke up at 12:00am. Can't get back to #sleep. I had almost forgotten about you #insomnia - welcome back. ",irony,1,1
213,Love being called into work on my morning off after not even 6 hours of sleep.  #thanks #splitshift,non_ironic,0,1
214,@RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm,non_ironic,0,1
215,With no forwards. #confused  sure,non_ironic,0,0
216,Christmas music on the stair master #SundayFunday ,non_ironic,0,1
217,@TMJ4Steve @AlTruda73 not knowing that it was about covering the points hasn't kept us from winning two weeks and almost winning a 3rd.,non_ironic,0,0
218,@MagicalBlondess Psssst. You spelt 'thing'  wrong ||,non_ironic,0,0
219,Spilled milk onto my boob. Oh the .,irony,1,1
220,Need to get back in to college..  #feeling #this,non_ironic,0,0
221,@ErrolNazareth @SEvangeline @ShakuraSaida That is fine company!,non_ironic,0,0
222,"'#Do  #Fear #to #be #Eccentric #in #Opinion,  #for #Every #Opinion #now #Accepted #was #Once #Eccentric.' by Bertrand Russell",irony,1,0
223,@Sherrod_Small As the only black listener to the @OpieandJimmy show...Love having you on it!!#RaceWars,non_ironic,0,0
224,@Sheriff1972 @SteveMay_UK Will probably get to write more about the show by doing so ... ,irony,1,1
225,Why couldn't I just stay sleeping,non_ironic,0,0
226,Not everyone will understand you. That's life.|#goodnight|#gatecrasher http://t.co/Xjqr57TEXS,non_ironic,0,0
227,@robinhosking where did THAT come from?!,non_ironic,0,0
228,Ahhh Finals week.... I'll throw a kegger at my house for all the survivors 💀💀💀 #Motivating  #RIP,non_ironic,0,1
229,@joehaesche thanks for the wake up wrap and coffee this morning!! #CheapBastard ,non_ironic,0,1
230, We cram 5 minutes before an exam and get a tag of qualified person.,non_ironic,0,1
231,Cheers to another good day... ,irony,1,1
232,About to fuck up this Media exam  #actuallyihopeso,non_ironic,0,1
233,@Metri_HennyKing u bragged all yr about having Peyton in 2 leagues only to get beat in the 1st round in both #irony ????????,non_ironic,0,1
234,Really loves dentist appointments. #sarcasm,irony,1,1
235,"#Exclusive -- #Indonesia: #AirAsia #crash #probe #focuses on #timing of #request to #climb, #weather. http://t.co/drtIbijN6y via @reuters",non_ironic,0,0
236,"#ECB #pondering #how #best #to #act,  #whether ...: ECB pondering how best to act, not whether ... Reuters – 19... http://t.co/ve282x8yGy",non_ironic,0,0
237,"You'd hope that a film like that would lose relevance after a couple decades, but nope.",non_ironic,0,0
238,I got tampons!  http://t.co/lnWQtxriUZ,non_ironic,0,1
239,Mid speech @ Christmas Lacrosse Ball #flattering  @ Grand Cafe http://t.co/Uu7yeqDfV5,non_ironic,0,1
240,Thanks @ahtohg for connecting. Always look forward to exchange thoughts n ideas with #entrepreneur working on #green n #sustainability,irony,1,0
241,@ErrolNazareth @TheDangelo How can you even keep up with all this great music?!,non_ironic,0,0
242,Remember Black Friday was a bust....,irony,1,1
243,Why am I sick? *looks at other tweets* oh yeah sex...  #lame,non_ironic,0,1
244,@Slate can you please book one of these appointments for me and tell me what happens?  http://t.co/ZrilqmGIoP,non_ironic,0,1
245,"Christmas part two began at my parents house today.Many gifts,mountains of wrapping paper,excited nephew,missing batteries, veggie chilli.",non_ironic,0,0
246,Interesting stats. PO's are good! The bad apples ruin it for all.|http://t.co/bqIn0clXjc #tcot #Ferguson #EricGarner,non_ironic,0,0
247,Two hour drive this morning with the instructor.  Oh yes..  #scaredshitless #yikes,non_ironic,0,1
248,#BBC #News -- #China -- #Shanghai #crush: #Xi #Jinping #orders #new #year #investigation. http://t.co/wD1X4FC4Y1,non_ironic,0,0
249,Connacht Camogie champions 2014! 3 years in a row! Hon HRC! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB 😄🙌🏆⚾,non_ironic,0,0
250,Leg snapped alike a twig and after I completed my front flip I screamed like a hungry newborn baby,non_ironic,0,0
251,3 hours sleep yay loving life ,irony,1,1
252,"danniella westbrook went to a food bank she should have gone to Iceland, oh yeah she fucked that up too   #freedomofspeech",non_ironic,0,1
253,What?!? The 4 team playoff picked by 16 people didn't solve schools still being pissed?!? I'm so shocked!  #CFBPlayoff,non_ironic,0,1
254,"#FEMALECONDOMS  |#herpes is  #curable, it #can #be #managed.. http://t.co/0Y1t0CNyZx",non_ironic,0,0
255,http://t.co/dPkkL6CjP5 #Landlord collects #Rent from #HoneyBees in #BeeHive ... #Bee #Honey #ItalianBees http://t.co/zpdngFWtJh,non_ironic,0,0
256,@KimBhasin @HuffingtonPost So is he banded from wearing the clothes?  #Karma,non_ironic,0,1
257,Funny your the broken one now Im the only one who needed saving.|,non_ironic,0,1
258,http://t.co/N1eVKeTMZ0 celebs takes drastic measures to look good...  #whoops #CelebrityLeakedPhotos http://t.co/5vGRHXrSa3,non_ironic,0,1
259,@ATVIAssist it's finally open XD I used a youtube video to help me :) Thanks very much ;) http://t.co/gaZvpumBcD,non_ironic,0,0
260,Photo: Dance Icon Sports Bra/Shorts Bikini Lingerie One Size $20.00 Leave email for invoice http://t.co/7aKmeVicvK,non_ironic,0,0
261,Normalizing relations with Cuba? Huh. Get ready for more of this crap. #ThanksObama  http://t.co/uv7NT22B2h #bad,non_ironic,0,1
262,"The fun part about 4 am drives in the winter, is no one has cleaned the snow yet ",non_ironic,0,1
263,@hayl1169 was just about to say that 😂,non_ironic,0,0
264,LOL..It was an RSS agenda modi bribed UN officals to make yoga day international..  #secularindia #AntiConversionLaw #hypocrites,irony,1,1
265,Can anyone tell iv been uploading items onto depop today lol  #lotsofdepopuploaded,non_ironic,0,1
266,Just a friendly reminder! #motto #advice #you #are  #defined #by #your #past http://t.co/Wmpp8Iy3gW,non_ironic,0,0
267,A Puppet at the #PTI rally wanting to make #NayaPakistan #irony http://t.co/3kAny6qhKr,non_ironic,0,1
268,Drawing with my little girl... Still can't believe she can draw this good!!!! #drawing #daughter... http://t.co/v1IOa07YLB,non_ironic,0,0
269,#sup#twitter#sorry#i#talking#alot#so#i#thort#i#sould#just#say#hi,non_ironic,0,0
270,Keep running from your problems. That always works. ,non_ironic,0,1
271,Christmas alone?? how nice #not,non_ironic,0,1
272,Please snow let us get out of dance early,non_ironic,0,0
