index,label,tweet
122,0,"@Ben_Jones88 @SPianovich Wasn't that full in the nosebleeds where I was sitting, but it was fun! Crowd reacting to JoePa is my fav memory."
123,0,"@djaznh @cnsnews @klshrews2 Obama , like DiFi with #TortureReport is using the 'scorched earth"" method.#tcot"
124,0,Sneaking in a round of mini golf at #hollywooddriveingolf at #universal #citiwalk before the kiddos... http://t.co/iHDeyYYlsi
125,1,hmmm. I do wonder why Astec has one fewer employee? #lol 
126,2,Come to jhb to play volleyball on a fake beach  #work http://t.co/yS6wkgvT5y
127,0,@DaveNavarro @SpikeInkMaster #not sure who will take it home?
128,0,@QararaRasha so so problematic.. God bless her. It's a shame what've we done to pakistan. :(
129,0,"@SportsCenter #SC3stars CARDALE JONES. Third string QB, Big10 Champion and MVP."
130,1,I can't wait to go to the post office to get bent over with $100 shipping fees to mail my folks' #Christmas gifts to Montana.  
131,1,@CamInman @BeeJayCee02 we all know how well we did under Erickson. 
132,0,@MrMindMiracle One of those obvious when you see it but oh so clever ideas!! Glad you approved!
133,0,Equal justice for all...unless you are Black during the Obama administration. http://t.co/8ELZkTarZZ via @foxnewspolitics
134,0,"#notcies #eu Liverpool workers ""miscarriage of justice"" victims http://t.co/KKyxaCu18R"
135,1,"@KAFosterSowell Oh, BELIEVE me. I agree totally. My tweet was pure #sarcasm. We need MORE #guns, not less. Santa is bringing me one. #2A"
136,0,@doforsarawak it's a 
137,2,Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR
138,0,"Selfish, narcissistic. Only the woman matters. Child doesn't matter. Father doesn't matter. No one else matters.|http://t.co/1olMSFOTd7"
139,1,What?!? The 4 team playoff picked by 16 people didn't solve schools still being pissed?!? I'm so shocked!  #CFBPlayoff
140,2,Twirra is NOT a place. RT @TWEET_BaBaLaWo: Twitter a place where virgins will be tweeting sexual & hoes will be forming saint... 
141,0,@CheenaZafar 😁 contrary to this ... I'm wide awake (caffeine injected consciousness ) 😳
142,0,Can't believe it's been nearly 11months since my mum passed away 😬 miss her so much more and more everyday 💜💕
143,0,"@JOJEHARVEY @matthewtcouch oh aye, I'll give you that ; )"
144,1,I seriously loveeeee how much you care 
145,1,Turning in my paper then coming back home and studying #perfectday 
146,3,"@NBCSportsRoc: Arizona Coyotes forge deal with BMW http://t.co/s7ZhDHk5li But, relocation!!! "
147,0,"So, @GdayJohnKim faved my tweet. What was my reaction?....my parents thought I went crazy.  Ashamed http://t.co/pXCXM28dgR"
148,0,@Quikr Alone Tonight cause its a personal song which helps me to imagine myself beyond another world. |#GoSupersonicQuikr|@aboveandbeyond
149,1,Great start to the morning  #flattire
150,0,Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32
151,0,@andreamarchant @tortugarouge I don't think I've ever seen Love Actually all the way through. I tried once last year. I don't remember it.
152,0,http://t.co/dPkkL6CjP5 #Landlord collects #Rent from #HoneyBees in #BeeHive ... #Bee #Honey #ItalianBees http://t.co/zpdngFWtJh
153,2," the people #BillCosby looked down upon are ones coming to his defense. This isn't about race,it's about rape! http://t.co/PD4GUCPPKV"
154,0,My death will likely be caused by  at the wrong time.
155,1,2 days off the next two weeks. 3 in the new yr. Love working over xmas.  #needthemoney
156,0,@tellychakkar: Vote-Who is the most underrated actor? http://t.co/9OC9BuNaeD http://t.co/ueDA2ETs6W#tink jimmy#oters  got ter fame im
157,0,@DCsportsGrl @DragonflyJonez true n that's y we r jaded EVERY YEAR
158,0,@jtomase @alexspeier Can we bring back Youkilis? Remember when 30 year old Youk charged mound & 19 year old Porcello dropped him? #RedSox
159,1,Walking to school is so awesome 
160,1,Just paid $2.59 for gas! #ThanksObama #sarcasm
161,1,Today I'll lecture on CRM investments & shareholder value ... So excited ....  😏 I'm sleepy 😴
162,1,Last day of school it was so much fun but not much people came. what a shocker 
163,0,What doesn't kill you makes you #stronger 👌...I'm  #perfect #mybody 🙈 http://t.co/lBIZvOjuE5
164,1,@Ant_Ay_It I'll snap at you if you tell me what to do again!|😂  #funnyGuy
165,0,"Wow: Look what the NFL Rams player who did ""Hands Up, Don't Shoot"" pose has been arrested for | http://t.co/FhO7lcmvon via @po_st #ferguson"
166,1,So this week is just getting better and better  😭
167,1,Everyone competing against each other for privatized goods is way better than working together as a whole to advance humanity. 
168,0,Do you want to be right? |Or do you want to be happy?
169,3,Girls who dip>>> 
170,0,@mathowie watch 1 & 2 and then watch 3 another time
171,1,"@Imranj_ logic is an invention by the kuffar, everything makes perfect sense. () Like monkeys stoning she monkeys"
172,1,Finals Week is draining my body so much that it's ruining my life in other places. Lovely... 
173,2,"@DrunkVinodMehta If #BJP joins with PDP, then CM will be of PDP. Only way to have a #HINDU #CM is to take support of Abdullah family "
174,0,@Adam_Klug can you reveal what you were drinking now?
175,1,Don't you love when guys try to give you their number? Keyword TRIED.  #backupoff
176,2,"The silence in #TimesSquare for #EricGarner last night is only broken by #NYPD siren. , watch on ifussss app. http://t.co/4qJQ9lM07U"
177,1,@nessatuia woww thanks for that helps alot  hahaha saddd 😂
178,0,@MohammadFarooq_ grateful for this encouragement :))
179,1,Yay time to clean....  so tired
180,0,You can have the prettiest face in the world but stretch marks will ruin it all for me.
181,1,Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014
182,2,"@virginmedia Advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity. "
183,0,How the fuck do u come out of a commercial injury break w a delay of game? #Redskins
184,1,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight http://t.co/HZDJZcEaOD"
185,0,@Pure_playa85 lol 😁.. Will let my kids know when they get up in the morning.. Thanks for the tip
186,0,Can always count on you to speak to me on here then delete the messages so It looks like I'm talking to myself. 😒 @TristanReece_
187,0,Long day and its not going to be possible without my good friend #coffee
188,0,ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm to visit out side india during session
189,0, tough day in sun #kitsch#funny @ Costa Teguise Lanzarote http://t.co/3D5qjIyh0z
190,0, #Bra #Fitting #Guide #How #diy #crafts|Please RT: http://t.co/aw58siFjFF http://t.co/ZwX1w60mIU
191,0,"Just in case anyone was wondering, Veni Vidi Vici in Spanish is Vine Vi Vencí #studybreaks #UMDFinalsWeek"
192,3,@grimmers skiing in Regents Park much #not
193,1,.@ThatNeilGuy Isn't it great how all those ppl have done a public mea culpa since that didn't happen? 
194,0,If that's Man U at its best they have much bigger problems than us ;) #saintsfc. Then again we're still 5th #noproblem
195,1,waking up congested/not being able to breathe is a great feeling.  😑
196,1,buzzing for school on monday.. 
197,2,@michael_adair @CelticLiam88 For Queen and country yet they go down and destroy an English city and attack English police lol 
198,0,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
199,3,@dohanews they can use white/maroon xmas trees :) 
200,1,@MrOzAtheist Presumably you have evidence to back this claim and it's not simply a feeling you have based on your interactions. 
201,0,@Yagu4Mp Lol I reckon. Was all in jest. I hope.
202,2,I hate it when my mind keeps drifting to someone who no longer matters in life.  #dislike
203,0,I wonder what was the holiday rituals for true Africans
204,0,I guess I'm dreaming. How else am I able to visit this site. Guess they won't let a prisoner have a phone right?
205,1,cleaning up spew is a definite highlight of my job!! 
206,0,@Espngreeny OSU opponents record much better than Baylor. Outright conf champs. Wins against 7 tms with winning records (Baylor 3)
207,0,A year ago|my cat was hit by|a car.... this is him|today. is a great quote
208,1,@SouthamptonFC @whufc_official Yeah thanks for that! 
209,0,Oi na how am I functioning right now #sleepdeprived
210,1,@KSeaboldt The pace of KCRoyals activity at the Winter Meetings is giving me vertigo! 
211,0,"#Foreplay, #cuddling – a #Jedi #craves  these #things"" - #Yoda #Quotes|http://t.co/cwFAI8AFKI"
212,0,AAP said will declare AK candidate in last list but declared it before.This issue affecting India's GDP is termed as U-Turn by BJP #AK4Delhi
213,2,"I shun the workplace chit chat, to look at what happening on twitter  #randomtweet"
214,1,love studying for anatomy 💓 
215,0,Nooooooooooo again it's on!!! #PickANewSong #CantStandIt
216,0,"LOL actually all 3 are, but i use 1 just for email @TimOwensby @RBRNetwork1 @Dolphin__Man @TheOldBreed1775 @real_smart_guy3"
217,3,@AskPlayStation Have you guys tried unplugging the servers waiting 10 seconds and plugging them back in?  #psndown
218,0,"#RedSox RT @pgammo: Meanwhile, in Caguas, Rusney Castillo goes 4-5 with mammoth HR. man, Alex Cora loves this guy"
219,0,My babygirl has an imaginary friend it's so cute to watch her talk to it.
220,3,Why am I sick? *looks at other tweets* oh yeah sex...  #lame
221,1,Too bad her cube doesn't have a door. - @NickEppley ||#bestcoworkersever  @AndyHawbaker
222,0,stop subtweeting 😉 
223,0,"@ohmaddiie: @SooFunnyPost: do you ever wonder http://t.co/x7RBgH13ZK""🙌🙌""this is some shit you would think of @juiccyy_j 😂"
224,3,"Jesus, Mary and Joseph. How sad to go through life suffering from  deficiency"
225,1,You know when you send presents to friends who live far away and they never get there.. and you handmade most of the stuff.. yay 
226,0,@MohammadFarooq_ Asalamoalekum... 😃 kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. 😇
227,0,Dallas (-7) over Washington; New Orleans (-7) over Tampa Bay; Green Bay over Detroit (+9); Carolina (+2.5) over Atlanta.
228,0,Saturday selfies miss you guys @ellakcx @taracasey13 jessica101xxx mark8 😘😘😘😘kiss each and one... http://t.co/9tG4rKuYNj
229,1,"Dad and step mom bitching at each other, now it's Christmas 😊🎄😤  #ugh"
230,0,Company profile FORGET ME NOT PET CEMETERY - http://t.co/QSMOF8f0X4 #FORGET #ME #NOT #PET #CEMETERY
231,0,@Neilby70 yeah not to bad been asleep most of it my backs been playing up so been on strong painkillers that knock me out 🙈
232,1,@knoxnews thats not weird at all 
233,0,Sickens me that killing innocent black men & children has become such a lucrative career in America. #MikeBrown #TrayvonMartin #EricGarner
234,0,My favorite color is every color.
235,0,@SpotJSO Thanks for the update Spot. I'm good w/ That. |If you can Post some stuff on this on my blog: http://t.co/JUmMWi0AyT
236,1,"I love seeing a guy go 50 and texting in a school zone, #soproud  #gpabdrivers"
237,0,Angry-face #Leo #Kids #Fun #Face #Angry  http://t.co/w0MnWIGNrM
238,1,"@kayleighjr Todd is love, Todd is life "
239,0,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V
240,1,"Well that's my Becky in London with her nan, an the big girl dan too start her new job tomorrow #feelingabandoned  haha"
241,1,You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not 😒💤
242,0,My dad's such a big kid on Christmas morning waking everyone up so bloody early
243,1,"@treacle1690CCA @billyf73 good old JK landing people in trouble again, ffs William i thought you were more savvy than that "
244,2,"oh lord!  RT @popularmsem: RT @ShockingFactsz: Before becoming an actor, Tom Cruise wanted to be a Catholic priest."
245,0,This gone be some fire ! 🔥Jan 24th #getlifted http://t.co/X9ZJ0unHzl
246,1,@NYPDnews y'all are doing a great job at keeping people safe 
247,0,I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut
248,3,"@sirmlivesey :-) Go for it. 20th Century Fox copied me and did 21st Century Fox, after all ... , I hasten to add *very* unlitigiously!"
249,1,@RWwatchMA Deutsch is a misogynistic toad; how shocking he's a bigot too  .... #HandsUpDontShoot
250,0,just one of those nights 😔
251,0,@TonyBrown03 that's the easy part. Giving my man money to go grab all mine tomorrow morning can't be dealing with town to stressfull
252,0,@MyzzCryz not worried about it. Whenevs 😉
253,1,Oh and it's a positively balmy 7c 
254,1,Well throwing up at 6:00 am is always fun ☺| 
255,1,"@Bad_Cat_ Wow, that is just so funny... "
256,2,"@NussieT you realize you just tweeted out advice the other day on how not to spill your coffee, right?   #sloppy"
257,0,I am downloading #AdvancedWarfare now!! Can't play it until 22nd of December tho :/ #Exams
258,3,"@nostromonavis @RamziNasir @StanleyCohenLaw You are kidding, right?  #poortaste"
259,1,tramp shit #youoweme #follow  http://t.co/i0TxDIPTwA
260,1,"Yo I got ten squad members in Khajo Chris said as he tears up...|""You ain't a gang member..."" Kevin responded |#thuglife "
261,2,It's all a calamity of lies..everything is fake so we only accept what isn't true  so when the truth comes we deny it. 
262,0,@Wildsau gotta love how honest kids are. #saywhattheythink
263,0,Knock knock #sketchy #dignity #smile #funtimes #brotherskeeper #whosonfirst #holiday #shenanigans... http://t.co/JFPPE1PMsP
264,1,"@jimspellmanTV @RT_com hitting the big issues, champ. "
265,1,Work Christmas Eve and Christmas Day.. Can't wait! 
266,1,Left home at 7.30am and still trying to get to work. I just want to cry!! #happymonday 
267,1,"@Cyclocosm Hey, he DOES have the word ""ban"" on his home page like two or three times though. #AcknowledgementIsFirstStep "
268,0,From what I can tell...most strippers belong right where they are #nocollegeneeded #adamsmith #specialization #strippers
269,0,When I'm doing my hw at the same time with watching series. #1am #now #still  #finish #my #work! # http://t.co/4EQjloPwnX
270,1,@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath 
271,0,Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg
272,0,"again, your myth of ""racist DNA"" is still only a figment of your delusional imagination @RBRNetwork1 @GodlyPghDad @Anan_VII @JoeHilgerman"
273,1,My favorite part of dislocating my shoulder is now being able to feel it roll  around in the socket 
274,0,"The ultimate ""How to"" book..... http://t.co/u8fdrrDUXz"
275,3,Why YES! Of course I use  a lot in my day....because violence is illegal.
276,1,@bdstratton @csimps0n well aren't you the brightest bulb in the chandelier? 
277,1,supaaa sweet when you have finals in the AM and ya can't sleep. 
278,2,How can u miss something u never had?||#randomthoughts #miss #irony |http://t.co/G5jLy9IKqn
279,2,Lol. Imagine being gay and working in a fudge packing factory. 
280,1,I picked a great night to not want to sleep. 
281,2,"I've tweeted nearly 4,000 times and I'm not sure all 4,000 tweets really needed to be on the internet... Including this one "
282,0,Sessions!! #why  #scary #canary #sydney #australia by lavin56 http://t.co/RS4WSrpsMJ http://t.co/EWBWx6ZIn3
283,1,"'Liberated' Iraq -- 2014 One of Bloodiest Years with More than 36,000 Victims: http://t.co/GCW05uriIT Thank you, Western liberators #sarcasm"
284,1,Can't wait for next year when it's a Cyber Month Sale. 
285,0,@whipappeal_6 not always. They've found them in $500k homes
286,0,@PolicyMic Scream this message: We want the security footage!!! #AntonioMartin #Ferguson #EndRacism #SocialJustice #BlackLivesMatter
287,0,What a difference 4 years makes #bestfriends  #changed #one #bit @lauratownx http://t.co/slHNHmNoxH
288,1,Fun night with these girls. It may look like we are eating dessert but its just for show ... http://t.co/cOG9RANpdr
289,1,Our physics exam was quite fun...  #Prelim
290,0,How were your #holidays? We'd love to hear all about them!
291,0,"@BanjoPla @bassem_masri .@SLMPD has warned @NewYorkFBI about Bassem.Heck, they might already know him! #Ferguson #NYC"
292,1,Hello indoor lung nice to see have to you back.  🏃😑
293,0,Farting like the world is ending
294,2,But someone selling a pack of cigarettes gets a death penalty  #EricGarner
295,0,And here we gooooo.....LOL #calledit #bandwagon #Houseisafeeling #EDUCATE yourself kids https://t.co/HP0JtlpfYQ http://t.co/rGkVlsM9JN
296,0,@kennobish could do with someone making me a hot chocolate right now ahaha
297,0,My dogs like to be nice and toasty while relaxing at home #adorable #puppy #socute #icant http://t.co/jCW9WYwC30
298,2,Me: my stomach is upset.| My stomach: I AM MORE THAN UPSET! 
299,1,Such quality customer service today by @Microsoft for the Xbox One  #thisiscrap #nothelpfulatall
300,3,@raeraeduke  your application is already filled up waiting for you to turn 21
301,1,36 hours no food no drink going strong  #givemeabrew 🙏😭☕
302,0,@lennutrajektoor And this is a warmly ment  from me to You! :-)
303,0,Coffee and prioritizing the mess that is me; trying to be #grown but clearly I am 
304,1,08:01am on the dot and the buzzer rings #helloworld #not #sleepy #tired #nothanks
305,0,Watch amazing race contestant talk juicy! https://t.co/mvDL7iOi8S
306,0,@vicenews halting heroine overdoses instantly? How will the music and film industry block that one wonders?
307,1,Love being called into work on my morning off after not even 6 hours of sleep.  #thanks #splitshift
308,1,"@carlytyler @greateranglia let's face it, at the mo there's delays on any day ending in a y! #valueformoneynot "
309,0,Drinking a Mercury: The Winged Messenger (Planet Series) by @BellsBrewery - http://t.co/iOGZRrSfgl #photo
310,0,"Love ya Jerry, but what the heck was that?"
311,1,Oh how I missed middle school drama :~) 
312,1,Oracle on Windows 2000. This should be fun! 
313,1,Well on a positive note if I can stay awake for another hour I can go get my blood work done! #positivenote fun stuff 
314,1,There's a million trillion things I'd rather rather do profound lyrics big Sean. PROFOUND.  #worstsongever
315,0,SAIC Design Directors on Trends and Advice to Students http://t.co/x176gUuhL0
316,1,Love how I can never fall asleep  #insomnia
317,2,A well known sci communicator is exaggerating the claims of a study into PR exaggerating the claims of scientific studies... #irony
318,1,Remember that one episode Santana wanted to be a dancer but then forgot about it altogether. Good times. Good times. #Glee 
319,0,I come up with some ridiculous scenarios in my head 💭
320,0,@bgracely @Horn_Chris gotta be a joke about tootin a Horn somewhere
321,3,"anw as long as there's nothing going on with the both of u rn, i can still forgive u but i cant promise to forget "
322,0,I'm so ready to get drunk tonight
323,1,So far today I burned my tongue on my coffee. Saw a dead guy on the freeway and chipped the windshield in the truck #gonnahaveagoodday 
324,0,Was swarmed by about 40 teenage girls as I walked in the mall...help. At least they were leaving right?!
325,1,"http://t.co/QdYdOaQ48B Because, progress... #AnEyeForAnEye , #PeshawarAttack #Taliban... Surely this will bring peace and justice? "
326,0,"I liked a @YouTube video from @jdfromny206 http://t.co/oeb8mtMIpj WWE 2K15 (PS4) My Career Mode Ep: #12: ""TRIPLE THREAT"" | WWE 2K15"
327,3,"Isn't this blaming the victim? #sarcasm RT @chronicle Every year, 600K college students are injured while drunk. http://t.co/guuGP49ZZD"
